LECROYWR6200A,18548,Waveform
Segments,1,SegmentSize,803
Segment,TrigTime,TimeSinceSegment1
#1,20-Nov-2018 10:38:47,0                 
Time,Ampl
8.27637e+008,-24.177
8.30078e+008,-23.6669
8.3252e+008,-24.8736
8.34961e+008,-24.4174
8.37402e+008,-24.3757
8.39844e+008,-25.0673
8.42285e+008,-25.1998
8.44727e+008,-23.093
8.47168e+008,-23.7945
8.49609e+008,-24.1721
8.52051e+008,-26.0508
8.54492e+008,-23.4609
8.56934e+008,-24.7411
8.59375e+008,-24.3291
8.61816e+008,-25.7295
8.64258e+008,-25.1213
8.66699e+008,-24.3267
8.69141e+008,-24.6111
8.71582e+008,-24.2482
8.74023e+008,-22.3131
8.76465e+008,-25.1875
8.78906e+008,-24.7853
8.81348e+008,-24.3929
8.83789e+008,-24.7926
8.8623e+008,-24.7043
8.88672e+008,-26.1808
8.91113e+008,-25.4475
8.93555e+008,-24.849
8.95996e+008,-24.4444
8.98438e+008,-24.54
9.00879e+008,-23.9882
9.0332e+008,-24.7362
9.05762e+008,-24.0225
9.08203e+008,-26.2126
9.10645e+008,-24.7362
9.13086e+008,-24.0765
9.15527e+008,-24.1574
9.17969e+008,-25.3592
9.2041e+008,-25.5456
9.22852e+008,-24.4346
9.25293e+008,-24.3217
9.27734e+008,-24.8441
9.30176e+008,-24.2604
9.32617e+008,-25.1213
9.35059e+008,-25.8055
9.375e+008,-25.9257
9.39941e+008,-24.5498
9.42383e+008,-24.7779
9.44824e+008,-24.9202
9.47266e+008,-25.4401
9.49707e+008,-25.0428
9.52148e+008,-24.1427
9.5459e+008,-25.9306
9.57031e+008,-25.0305
9.59473e+008,-25.266
9.61914e+008,-25.0305
9.64355e+008,-23.971
9.66797e+008,-24.9937
9.69238e+008,-25.4597
9.7168e+008,-24.4149
9.74121e+008,-25.369
9.76563e+008,-26.0312
9.79004e+008,-25.4573
9.81445e+008,-25.3665
9.83887e+008,-26.7448
9.86328e+008,-25.4475
9.8877e+008,-25.9576
9.91211e+008,-24.9079
9.93652e+008,-25.5014
9.96094e+008,-26.0042
9.98535e+008,-24.3806
1.00098e+009,-22.3278
1.00342e+009,-24.1206
1.00586e+009,-25.0011
1.0083e+009,-24.3095
1.01074e+009,-25.3273
1.01318e+009,-25.2979
1.01563e+009,-24.7387
1.01807e+009,-25.2341
1.02051e+009,-25.2831
1.02295e+009,-25.7589
1.02539e+009,-25.369
1.02783e+009,-25.2733
1.03027e+009,-26.7448
1.03271e+009,-25.5382
1.03516e+009,-25.5995
1.0376e+009,-26.5339
1.04004e+009,-26.5069
1.04248e+009,-25.8742
1.04492e+009,-26.7424
1.04736e+009,-26.5609
1.0498e+009,-27.1888
1.05225e+009,-24.7951
1.05469e+009,-24.8294
1.05713e+009,-25.8521
1.05957e+009,-25.8178
1.06201e+009,-25.4622
1.06445e+009,-25.7982
1.06689e+009,-25.5627
1.06934e+009,-27.2648
1.07178e+009,-24.6602
1.07422e+009,-25.8791
1.07666e+009,-26.3721
1.0791e+009,-25.2856
1.08154e+009,-25.2684
1.08398e+009,-26.6786
1.08643e+009,-27.1299
1.08887e+009,-26.7865
1.09131e+009,-25.8619
1.09375e+009,-25.9846
1.09619e+009,-27.2206
1.09863e+009,-26.2592
1.10107e+009,-26.6786
1.10352e+009,-25.9208
1.10596e+009,-26.789
1.1084e+009,-25.5186
1.11084e+009,-25.8006
1.11328e+009,-25.9551
1.11572e+009,-25.9993
1.11816e+009,-26.8944
1.12061e+009,-26.8846
1.12305e+009,-26.3181
1.12549e+009,-25.8546
1.12793e+009,-26.0532
1.13037e+009,-26.3132
1.13281e+009,-26.4481
1.13525e+009,-25.8619
1.1377e+009,-27.1323
1.14014e+009,-26.4554
1.14258e+009,-27.1765
1.14502e+009,-27.5027
1.14746e+009,-26.9214
1.1499e+009,-27.1348
1.15234e+009,-26.8773
1.15479e+009,-26.2617
1.15723e+009,-27.0391
1.15967e+009,-26.9165
1.16211e+009,-27.2721
1.16455e+009,-28.1035
1.16699e+009,-27.0416
1.16943e+009,-26.9803
1.17188e+009,-26.6933
1.17432e+009,-28.1134
1.17676e+009,-27.4904
1.1792e+009,-27.152
1.18164e+009,-26.8846
1.18408e+009,-27.7651
1.18652e+009,-27.9221
1.18896e+009,-27.9981
1.19141e+009,-26.3157
1.19385e+009,-26.9141
1.19629e+009,-27.591
1.19873e+009,-27.9172
1.20117e+009,-27.5125
1.20361e+009,-27.7823
1.20605e+009,-27.6032
1.2085e+009,-27.6645
1.21094e+009,-26.5683
1.21338e+009,-27.5738
1.21582e+009,-27.4953
1.21826e+009,-27.9687
1.2207e+009,-26.8675
1.22314e+009,-26.8111
1.22559e+009,-25.9846
1.22803e+009,-28.6995
1.23047e+009,-27.2672
1.23291e+009,-27.1446
1.23535e+009,-27.1888
1.23779e+009,-27.8092
1.24023e+009,-28.0447
1.24268e+009,-27.9736
1.24512e+009,-27.1716
1.24756e+009,-27.8657
1.25e+009,-26.713
1.25244e+009,-27.1716
1.25488e+009,-27.8926
1.25732e+009,-27.4438
1.25977e+009,-28.5131
1.26221e+009,-28.9448
1.26465e+009,-27.8068
1.26709e+009,-27.6523
1.26953e+009,-27.613
1.27197e+009,-28.7461
1.27441e+009,-28.0128
1.27686e+009,-27.8019
1.2793e+009,-27.9172
1.28174e+009,-28.648
1.28418e+009,-28.312
1.28662e+009,-28.2458
1.28906e+009,-28.2286
1.2915e+009,-27.9588
1.29395e+009,-27.6081
1.29639e+009,-28.2139
1.29883e+009,-27.2206
1.30127e+009,-28.5229
1.30371e+009,-28.182
1.30615e+009,-29.1876
1.30859e+009,-28.3758
1.31104e+009,-28.4518
1.31348e+009,-28.6259
1.31592e+009,-28.6357
1.31836e+009,-28.0153
1.3208e+009,-28.0815
1.32324e+009,-28.7093
1.32568e+009,-29.1655
1.32813e+009,-28.4101
1.33057e+009,-28.7265
1.33301e+009,-28.2286
1.33545e+009,-28.2728
1.33789e+009,-27.5983
1.34033e+009,-28.8442
1.34277e+009,-28.6112
1.34521e+009,-27.8166
1.34766e+009,-28.6235
1.3501e+009,-28.2948
1.35254e+009,-29.0551
1.35498e+009,-28.6848
1.35742e+009,-28.2041
1.35986e+009,-28.4861
1.3623e+009,-28.4592
1.36475e+009,-28.4248
1.36719e+009,-28.1428
1.36963e+009,-28.7903
1.37207e+009,-28.182
1.37451e+009,-28.7461
1.37695e+009,-29.0183
1.37939e+009,-28.6872
1.38184e+009,-29.3274
1.38428e+009,-28.7314
1.38672e+009,-27.9687
1.38916e+009,-28.5082
1.3916e+009,-28.442
1.39404e+009,-29.1925
1.39648e+009,-29.0159
1.39893e+009,-28.6823
1.40137e+009,-28.3292
1.40381e+009,-28.8884
1.40625e+009,-28.7682
1.40869e+009,-28.3586
1.41113e+009,-29.9994
1.41357e+009,-29.0012
1.41602e+009,-29.2121
1.41846e+009,-29.0036
1.4209e+009,-28.9938
1.42334e+009,-29.0821
1.42578e+009,-29.4279
1.42822e+009,-28.9497
1.43066e+009,-29.0183
1.43311e+009,-29.0968
1.43555e+009,-29.374
1.43799e+009,-29.2906
1.44043e+009,-29.4181
1.44287e+009,-28.7461
1.44531e+009,-28.4665
1.44775e+009,-29.087
1.4502e+009,-28.9153
1.45264e+009,-29.1385
1.45508e+009,-29.4475
1.45752e+009,-28.2679
1.45996e+009,-28.6872
1.4624e+009,-29.141
1.46484e+009,-29.6683
1.46729e+009,-29.2808
